City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
Coelho Neto,38,BR,1622155496,"{'temp': 75.49, 'feels_like': 75.97, 'temp_min': 75.49, 'temp_max': 75.49, 'pressure': 1010, 'humidity': 69, 'sea_level': 1010, 'grnd_level': 1003}",-4.2567,-43.0128,75.49,2.75
Damietta,0,EG,1622155496,"{'temp': 75.09, 'feels_like': 75.83, 'temp_min': 75.09, 'temp_max': 75.09, 'pressure': 1011, 'humidity': 75, 'sea_level': 1011, 'grnd_level': 1010}",31.4165,31.8133,75.09,7.52
Hambantota,99,LK,1622155497,"{'temp': 80.29, 'feels_like': 84.87, 'temp_min': 80.29, 'temp_max': 80.29, 'pressure': 1008, 'humidity': 80, 'sea_level': 1008, 'grnd_level': 1006}",6.1241,81.1185,80.29,22.1
Muisne,89,EC,1622155497,"{'temp': 84.31, 'feels_like': 97.34, 'temp_min': 84.31, 'temp_max': 84.31, 'pressure': 1011, 'humidity': 86, 'sea_level': 1011, 'grnd_level': 1011}",0.6,-80.0333,84.31,11.77
Ponta do Sol,39,PT,1622155497,"{'temp': 64.18, 'feels_like': 63.82, 'temp_min': 63.01, 'temp_max': 65.71, 'pressure': 1019, 'humidity': 75, 'sea_level': 1019, 'grnd_level': 1019}",32.6667,-17.1,65.71,3.87
Moctezuma,54,MX,1622155498,"{'temp': 96.44, 'feels_like': 91.36, 'temp_min': 96.44, 'temp_max': 96.44, 'pressure': 1010, 'humidity': 8, 'sea_level': 1010, 'grnd_level': 943}",29.8,-109.6667,96.44,15.37
Rio Grande,0,BR,1622155483,"{'temp': 58.95, 'feels_like': 58.01, 'temp_min': 58.95, 'temp_max': 58.95, 'pressure': 1011, 'humidity': 74, 'sea_level': 1011, 'grnd_level': 1010}",-32.035,-52.0986,58.95,6.98
Kieta,100,PG,1622155498,"{'temp': 78.85, 'feels_like': 78.85, 'temp_min': 78.85, 'temp_max': 78.85, 'pressure': 1012, 'humidity': 90, 'sea_level': 1012, 'grnd_level': 1009}",-6.2167,155.6333,78.85,3.76
Huambo,0,AO,1622155498,"{'temp': 52.05, 'feels_like': 49.35, 'temp_min': 52.05, 'temp_max': 52.05, 'pressure': 1019, 'humidity': 51, 'sea_level': 1019, 'grnd_level': 833}",-12.7761,15.7392,52.05,1.01
Pangnirtung,20,CA,1622155499,"{'temp': 32, 'feels_like': 22.05, 'temp_min': 32, 'temp_max': 32, 'pressure': 1009, 'humidity': 80}",66.1451,-65.7125,32.0,13.8
Nemuro,100,JP,1622155499,"{'temp': 43.16, 'feels_like': 36.52, 'temp_min': 43.16, 'temp_max': 43.16, 'pressure': 1004, 'humidity': 98, 'sea_level': 1004, 'grnd_level': 1001}",43.3236,145.575,43.16,12.93
